Assay Name	descriptors_name	label	CT-Tot	TP	FP	FN	TN	BA	OR	P-Val	Inv OR	Inv P-val
ACEA_ER_80hr_AEID:2	Txp-116	bond:COC_ether_alkenyl	19	10	9	293	1425	0.5133635997772217	5.403868198394775	0.00047475469182245433	0.18505263328552246	0.9999229311943054
ACEA_ER_80hr_AEID:2	Txp-123	bond:COH_alcohol_aromatic	221	76	145	227	1289	0.5748546719551086	2.9762721061706543	0.000000000039169740367883676	0.3359907865524292	1
ACEA_ER_80hr_AEID:2	Txp-124	bond:COH_alcohol_aromatic_phenol	216	76	140	227	1294	0.576598048210144	3.09452486038208	0.000000000010254713744828337	0.3231513798236847	1
ACEA_ER_80hr_AEID:2	Txp-167	bond:CX_halide_alkyl-X_tertiary	15	6	9	297	1425	0.5067629218101501	3.198653221130371	0.03301846608519554	0.3126315772533417	0.9917429685592651
ACEA_ER_80hr_AEID:2	Txp-287	bond:S(=O)O_sulfuricAcid_generic	18	7	11	296	1423	0.5077157020568848	3.0592751502990723	0.025424810126423836	0.32687482237815857	0.9931902885437012
ACEA_ER_80hr_AEID:2	Txp-435	chain:alkaneCyclic_pentyl_C5	69	32	37	271	1397	0.5399042963981628	4.458362579345703	0.00000001217013334553485	0.22429759800434113	1
ACEA_ER_80hr_AEID:2	Txp-447	chain:alkaneLinear_stearyl_C18	3	3	0	300	1434	0.5049505233764648	100000000	0.005264620296657085	0	1
ACEA_ER_80hr_AEID:2	Txp-471	chain:alkyne_ethyne_generic	16	8	8	295	1426	0.5104119181632996	4.833898067474365	0.0027661442290991545	0.2068723738193512	0.9995133876800537
ACEA_ER_80hr_AEID:2	Txp-479	chain:aromaticAlkane_Ph-C1-Ph	63	24	39	279	1395	0.5260056257247925	3.076923131942749	0.000058356472436571494	0.32499998807907104	0.9999822974205017
ACEA_ER_80hr_AEID:2	Txp-482	chain:aromaticAlkane_Ph-C6	7	4	3	299	1431	0.5055546164512634	6.381270885467529	0.020478567108511925	0.15670859813690186	0.9975766539573669
ACEA_ER_80hr_AEID:2	Txp-483	chain:aromaticAlkane_Ph-C8	4	3	1	300	1433	0.5046018362045288	14.329999923706055	0.01832597889006138	0.06978367269039154	0.9990891814231873
ACEA_ER_80hr_AEID:2	Txp-560	group:ligand_path_4_polydentate	3	3	0	300	1434	0.5049505233764648	100000000	0.005264620296657085	0	1
ACEA_ER_80hr_AEID:2	Txp-593	ring:fused_[6_6]_tetralin	15	7	8	296	1426	0.5087617635726929	4.215371608734131	0.008257041685283184	0.23722700774669647	0.9983736276626587
ACEA_ER_80hr_AEID:2	Txp-602	ring:fused_steroid_generic_[5_6_6_6]	29	27	2	276	1432	0.5438570976257324	70.0434799194336	3.5948739508974666e-19	0.014276846311986446	1
ACEA_ER_80hr_AEID:2	Txp-611	ring:hetero_[5]_N_pyrazole	15	6	9	297	1425	0.5067629218101501	3.198653221130371	0.03301846608519554	0.3126315772533417	0.9917429685592651
ACEA_ER_80hr_AEID:2	Txp-689	ring:hetero_[6_6]_O_benzopyran	25	10	15	293	1419	0.5112715363502502	3.2286689281463623	0.006245945114642382	0.30972516536712646	0.9983283281326294
ACEA_ER_80hr_AEID:2	Txp-691	ring:hetero_[6_6]_O_benzopyrone_(1_4-)	10	9	1	294	1433	0.5145028233528137	43.867347717285156	0.0000011469157925603213	0.02279599942266941	1
ACEA_ER_80hr_AEID:2	Txp-75	bond:CC(=O)C_ketone_aliphatic_generic	77	30	47	273	1387	0.5331172347068787	3.242927312850952	0.000003790167511397158	0.3083633780479431	0.9999988675117493
