Assay Name	descriptors_name	label	CT-Tot	TP	FP	FN	TN	BA	OR	P-Val	Inv OR	Inv P-val
AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516	Txp-133	bond:CS_sulfide_di-	9	4	5	486	3012	0.503252983	4.958024502	0.026553698	0.201693222	0.995952427
AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516	Txp-137	bond:CX_halide_alkenyl-Cl_dichloro_(1_1-)	10	4	6	486	3011	0.503087282	4.130315304	0.039473157	0.242112249	0.992825508
AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516	Txp-141	bond:CX_halide_alkenyl-X_dihalo_(1_2-)	23	9	14	481	3003	0.506863475	4.013513565	0.002489197	0.249158248	0.999464273
AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516	Txp-147	bond:CX_halide_alkyl-F_perfluoro_butyl	18	7	11	483	3006	0.505319834	3.960474253	0.00786312	0.252495021	0.998345137
AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516	Txp-148	bond:CX_halide_alkyl-F_perfluoro_ethyl	22	9	13	481	3004	0.507029235	4.323684692	0.001724798	0.231284216	0.999654651
AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516	Txp-149	bond:CX_halide_alkyl-F_perfluoro_hexyl	15	7	8	483	3009	0.505817056	5.451086998	0.002320499	0.183449656	0.999641836
AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516	Txp-150	bond:CX_halide_alkyl-F_perfluoro_octyl	8	6	2	484	3015	0.505791008	18.68801689	0.0001577	0.053510226	0.999992967
AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516	Txp-151	bond:CX_halide_alkyl-F_tetrafluoro_(1_1_1_2-)	21	8	13	482	3004	0.506008804	3.835301638	0.005241866	0.260735691	0.998839498
AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516	Txp-153	bond:CX_halide_alkyl-X_aromatic_alkane	15	5	10	485	3007	0.503444791	3.099999905	0.047119331	0.322580636	0.988190711
AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516	Txp-154	bond:CX_halide_alkyl-X_aromatic_generic	15	5	10	485	3007	0.503444791	3.099999905	0.047119331	0.322580636	0.988190711
AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516	Txp-156	bond:CX_halide_alkyl-X_benzyl_generic	10	4	6	486	3011	0.503087282	4.130315304	0.039473157	0.242112249	0.992825508
AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516	Txp-160	bond:CX_halide_alkyl-X_dihalo_(1_2-)	60	20	40	470	2977	0.513779044	3.167021275	0.000100077	0.315754116	0.999970734
AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516	Txp-161	bond:CX_halide_alkyl-X_dihalo_(1_3)	51	18	33	472	2984	0.512898326	3.448382139	9.62612E-05	0.289991051	0.99997431
AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516	Txp-168	bond:CX_halide_alkyl-X_tetrahalo_(1_1_2_2-)	24	10	14	480	3003	0.507883906	4.46875	0.000805429	0.223776221	0.999841809
