Assay Name	descriptors_name	label	CT-Tot	TP	FP	FN	TN	BA	OR	P-Val	Inv OR	Inv P-val
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-107	bond:CN_amine_ter-N_aliphatic	240	8	232	36	3231	0.557412148	3.094827652	0.008794063	0.323119789	0.997585773
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-108	bond:CN_amine_ter-N_aromatic	90	4	86	40	3377	0.533037543	3.926744223	0.025191316	0.254663914	0.995091081
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-110	bond:CN_amine_ter-N_generic	241	8	233	36	3230	0.557267725	3.080591202	0.009010699	0.324613005	0.99751544
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-152	bond:CX_halide_alkyl-F_trifluoro_(1_1_1-)	104	4	100	40	3363	0.531016171	3.362999916	0.039962955	0.297353566	0.990978777
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-153	bond:CX_halide_alkyl-X_aromatic_alkane	15	4	11	40	3452	0.543866336	31.38181877	2.66244E-05	0.031865586	0.999999344
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-154	bond:CX_halide_alkyl-X_aromatic_generic	15	4	11	40	3452	0.543866336	31.38181877	2.66244E-05	0.031865586	0.999999344
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-155	bond:CX_halide_alkyl-X_benzyl_alkane	64	4	60	40	3403	0.536791563	5.671666622	0.00792596	0.17631501	0.998915732
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-156	bond:CX_halide_alkyl-X_benzyl_generic	10	3	7	41	3456	0.53308022	36.12543488	0.000208041	0.027681326	0.999995708
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-163	bond:CX_halide_alkyl-X_ethyl_generic	82	5	77	39	3386	0.545700669	5.637695789	0.00328259	0.177377433	0.999528348
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-164	bond:CX_halide_alkyl-X_generic	291	10	281	34	3182	0.573064625	3.330542088	0.002577946	0.300251424	0.999322653
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-165	bond:CX_halide_alkyl-X_primary	82	5	77	39	3386	0.545700669	5.637695789	0.00328259	0.177377433	0.999528348
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-303	bond:X[any_!C]_halide_inorganic	82	4	78	40	3385	0.534192622	4.339743614	0.01853567	0.230428368	0.996717393
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-474	chain:aromaticAlkane_Ar-C-Ar	121	8	113	36	3350	0.574593782	6.588004112	9.95189E-05	0.151791051	0.999986827
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-479	chain:aromaticAlkane_Ph-C1-Ph	111	8	103	36	3360	0.576037586	7.249190807	5.36043E-05	0.137946427	0.999993563
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-488	chain:aromaticAlkene_Ph-C2_acyclic_generic	83	4	79	40	3384	0.534048259	4.28354454	0.01929896	0.23345153	0.996539295
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-59	bond:C=N_imine_N(connect_noZ)	21	3	18	41	3445	0.531491995	14.00406551	0.002093631	0.07140784	0.999889493
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-632	ring:hetero_[5]_Z_1_2-Z	64	3	61	41	3402	0.525283515	4.080767632	0.045162633	0.245051935	0.992074013
AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-94	bond:CN_amine_aliphatic_generic	356	11	345	33	3118	0.575187683	3.012560368	0.003540801	0.331943542	0.998966336
AEID:101_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-108	bond:CN_amine_ter-N_aromatic	90	9	81	121	3296	0.522622466	3.026629925	0.005552362	0.330400497	0.998414814
AEID:101_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-109	bond:CN_amine_ter-N_aromatic_aliphatic	83	9	74	121	3303	0.523658931	3.3199687	0.003216042	0.301207662	0.999159634
AEID:101_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-117	bond:COC_ether_aromatic	71	8	63	122	3314	0.5214414	3.449388504	0.004276084	0.289906472	0.998938799
AEID:101_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-13	bond:C#N_nitrile_generic	111	11	100	119	3277	0.527501643	3.029159546	0.002375836	0.330124557	0.999306679
AEID:101_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-139	bond:CX_halide_alkenyl-X_acyclic_generic	29	4	25	126	3352	0.511683106	4.256507874	0.020861832	0.234934375	0.996242583
AEID:101_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-15	bond:C#N_nitrile	100	11	89	119	3288	0.52913034	3.414974928	0.001006753	0.292827904	0.999738216
AEID:101_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-152	bond:CX_halide_alkyl-F_trifluoro_(1_1_1-)	104	13	91	117	3286	0.536526501	4.012209892	9.37945E-05	0.249239191	0.999978781
AEID:101_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-160	bond:CX_halide_alkyl-X_dihalo_(1_2-)	60	6	54	124	3323	0.515081644	2.977598667	0.022444278	0.335841119	0.993860424
AEID:101_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-164	bond:CX_halide_alkyl-X_generic	291	28	263	102	3114	0.568752408	3.250279665	1.42052E-06	0.307665855	0.999999583
AEID:101_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-166	bond:CX_halide_alkyl-X_secondary	27	5	22	125	3355	0.515973449	6.099999905	0.002710704	0.163934425	0.999639869
AEID:101_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-169	bond:CX_halide_alkyl-X_trihalo_(1_1_1-)	130	14	116	116	3261	0.536671162	3.392835855	0.000255066	0.29473868	0.999931753
AEID:101_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-181	bond:CX_halide_aromatic-X_dihalo_benzene_(1_3-)	166	16	150	114	3227	0.53932941	3.01941514	0.000333846	0.33118996	0.999898911
AEID:101_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-183	bond:CX_halide_aromatic-X_ether_aromatic_(Ph-O-Ph)	70	8	62	122	3315	0.521589458	3.506081343	0.003913842	0.285218716	0.999043822
AEID:101_invitrodb_v3_1_burst_hitc_MC_20190520	Txp-187	bond:CX_halide_aromatic-X_halo_phenol_meta	34	6	28	124	3349	0.51893121	5.787442207	0.001321776	0.17278789	0.999809384
