dsstox_substance_id	hitc
DTXSID0020022	0
DTXSID9020089	0
DTXSID9020112	0
DTXSID3020122	0
DTXSID5020154	1
DTXSID9020160	0
DTXSID7020182	0
DTXSID1020194	0
DTXSID4020242	0
DTXSID9020243	0
DTXSID9020247	0
DTXSID0020319	0
DTXSID2020347	0
DTXSID9020370	0
DTXSID9020407	0
DTXSID2020420	0
DTXSID2020426	0
DTXSID0020440	0
DTXSID0020442	0
DTXSID0020446	0
DTXSID5020449	0
DTXSID4020450	0
DTXSID7020479	0
DTXSID7020508	0
DTXSID1020560	0
DTXSID5020601	0
DTXSID5020607	0
DTXSID8020620	0
DTXSID8020628	0
DTXSID2020686	0
DTXSID7020764	0
DTXSID9020790	0
DTXSID4020791	0
DTXSID9020792	0
DTXSID9020794	0
DTXSID5020819	0
DTXSID9020827	0
DTXSID1020855	0
DTXSID6021086	0
DTXSID7021100	0
DTXSID2021105	0
DTXSID2021151	0
DTXSID1021160	0
DTXSID1021166	0
DTXSID3021196	0
DTXSID6021248	0
DTXSID4021268	0
DTXSID5021332	0
DTXSID0021337	0
DTXSID0021385	0
DTXSID0021389	0
DTXSID4021395	0
DTXSID1021409	0
DTXSID2021781	0
DTXSID7021948	0
DTXSID4021975	0
DTXSID9021976	0
DTXSID2021995	0
DTXSID0022018	0
DTXSID4022020	0
DTXSID8022111	0
DTXSID3022162	0
DTXSID7022253	0
DTXSID1022265	0
DTXSID1022267	0
DTXSID8022292	0
DTXSID8022325	0
DTXSID6022341	0
DTXSID4022361	0
DTXSID4022448	0
DTXSID3022455	0
DTXSID4023412	0
DTXSID8023846	0
DTXSID8023848	0
DTXSID6023864	0
DTXSID1023869	0
DTXSID5023871	0
DTXSID9023881	0
DTXSID9023889	0
DTXSID8023890	0
DTXSID8023892	0
DTXSID3023897	0
DTXSID3023899	0
DTXSID5023900	0
DTXSID0023901	0
DTXSID9023914	0
DTXSID7023936	0
DTXSID0023951	0
DTXSID7023980	0
DTXSID1023990	0
DTXSID1023998	0
DTXSID6023999	0
DTXSID0024002	0
DTXSID4024018	0
DTXSID7024035	0
DTXSID6024048	0
DTXSID7024085	0
DTXSID1024091	0
DTXSID8024101	0
DTXSID3024102	0
DTXSID8024109	0
DTXSID4024145	0
DTXSID8024151	0
DTXSID3024152	0
DTXSID3024154	0
DTXSID8024159	0
DTXSID7024160	0
DTXSID2024163	0
DTXSID7024164	0
DTXSID1024170	0
DTXSID1024174	0
DTXSID6024175	0
DTXSID6024177	0
DTXSID5024182	0
DTXSID4024195	0
DTXSID6024204	0
DTXSID6024206	0
DTXSID1024209	0
DTXSID5024211	0
DTXSID0024216	0
DTXSID8024234	0
DTXSID3024235	0
DTXSID8024238	1
DTXSID3024239	0
DTXSID7024241	0
DTXSID2024242	0
DTXSID7024245	0
DTXSID1024259	0
DTXSID0024266	0
DTXSID4024270	0
DTXSID4024272	0
DTXSID4024276	0
DTXSID8024280	0
DTXSID3024287	0
DTXSID7024299	0
DTXSID9024304	0
DTXSID8024315	0
DTXSID3024316	0
DTXSID8024317	0
DTXSID6024337	0
DTXSID1024338	0
DTXSID5024344	0
DTXSID0024345	0
DTXSID2024793	0
DTXSID7024902	0
DTXSID8025599	0
DTXSID2025680	0
DTXSID2026523	0
DTXSID2027204	0
DTXSID0028038	0
DTXSID9029221	0
DTXSID3031864	0
DTXSID8031865	0
DTXSID9032327	0
DTXSID9032329	0
DTXSID3032337	0
DTXSID2032344	0
DTXSID6032352	0
DTXSID6032354	0
DTXSID1032355	0
DTXSID6032356	0
DTXSID6032358	0
DTXSID1032359	0
DTXSID5032365	0
DTXSID4032372	0
DTXSID4032376	0
DTXSID9032379	0
DTXSID8032386	0
DTXSID2032390	0
DTXSID2032392	0
DTXSID7032393	0
DTXSID2032398	0
DTXSID4032405	0
DTXSID7032424	0
DTXSID5032442	0
DTXSID8032463	0
DTXSID3032464	0
DTXSID7032470	0
DTXSID1032482	0
DTXSID1032488	0
DTXSID0032493	0
DTXSID0032497	0
DTXSID5032498	1
DTXSID2032500	0
DTXSID2032502	0
DTXSID1032519	0
DTXSID0032520	0
DTXSID5032525	0
DTXSID4032532	0
DTXSID8032544	0
DTXSID3032547	0
DTXSID8032548	0
DTXSID3032549	0
DTXSID2032550	0
DTXSID7032551	0
DTXSID2032552	0
DTXSID7032553	0
DTXSID2032554	0
DTXSID7032555	0
DTXSID2032556	0
DTXSID6032562	0
DTXSID1032569	0
DTXSID0032572	0
DTXSID5032573	0
DTXSID5032577	0
DTXSID0032578	0
DTXSID4032580	0
DTXSID9032581	0
DTXSID5032600	0
DTXSID0032601	0
DTXSID0032605	0
DTXSID4032611	0
DTXSID4032613	0
DTXSID4032615	0
DTXSID3032628	0
DTXSID2032637	0
DTXSID7032638	0
DTXSID1032640	0
DTXSID6032641	0
DTXSID1032642	0
DTXSID6032645	0
DTXSID6032647	0
DTXSID6032649	0
DTXSID0032651	0
DTXSID0032655	0
DTXSID4032667	0
DTXSID8032673	0
DTXSID2032683	0
DTXSID1032690	0
DTXSID1034210	0
DTXSID1034212	0
DTXSID0034223	0
DTXSID0034227	0
DTXSID9034232	0
DTXSID7034252	0
DTXSID6034265	0
DTXSID5034270	0
DTXSID0034300	0
DTXSID5034303	0
DTXSID4034364	0
DTXSID9034365	0
DTXSID6034392	0
DTXSID8034401	0
DTXSID3034402	0
DTXSID3034456	0
DTXSID2034465	0
DTXSID9034490	0
DTXSID9034492	0
DTXSID9034496	0
DTXSID1034503	0
DTXSID4034528	0
DTXSID7034545	0
DTXSID0034566	0
DTXSID9034573	0
DTXSID8034580	0
DTXSID8034586	0
DTXSID8034588	0
DTXSID2034590	0
DTXSID4034609	0
DTXSID3034612	0
DTXSID3034618	0
DTXSID2034625	0
DTXSID2034627	0
DTXSID1034634	0
DTXSID9034650	0
DTXSID4034653	0
DTXSID3034664	0
DTXSID8034665	0
DTXSID2034673	0
DTXSID7034676	0
DTXSID0034695	0
DTXSID6034712	0
DTXSID5034723	0
DTXSID9034737	0
DTXSID8034742	0
DTXSID7034753	0
DTXSID5034773	0
DTXSID0034803	0
DTXSID9034816	0
DTXSID9034818	0
DTXSID6034849	0
DTXSID0034855	0
DTXSID9034864	0
DTXSID9034868	0
DTXSID8034871	0
DTXSID3034872	0
DTXSID8034877	0
DTXSID2034881	0
DTXSID6034928	0
DTXSID0034930	0
DTXSID4034948	0
DTXSID8034956	0
DTXSID7034961	0
DTXSID2034962	0
DTXSID1034973	0
DTXSID8035180	0
DTXSID5035957	0
DTXSID0037495	0
DTXSID5037523	0
DTXSID1038666	0
DTXSID0039223	0
DTXSID2039336	0
DTXSID9040001	0
DTXSID4040002	0
DTXSID8040222	0
DTXSID2040361	0
DTXSID7040362	0
DTXSID2040363	0
DTXSID0040755	0
DTXSID8044337	0
